date,players
2020-03-01,531189
2020-03-02,352707
2020-03-03,339103
2020-03-04,355867
2020-03-05,355998
2020-03-06,426703
2020-03-07,540827
2020-03-08,541571
2020-03-09,412246
2020-03-10,361107
2020-03-11,369877
2020-03-12,404921
2020-03-13,492538
2020-03-14,606227
2020-03-15,640099
2020-03-16,651660
2020-03-17,772302
2020-03-18,803023
2020-03-19,810280
2020-03-20,852384
2020-03-21,897343
2020-03-22,904209
2020-03-23,914256
2020-03-24,942466
2020-03-25,909915
2020-03-26,950028
2020-03-27,968369
2020-03-28,998285
2020-03-29,990159
2020-03-30,944531
2020-03-31,979729
2020-04-01,1046212
2020-04-02,1691028
2020-04-03,1243207
2020-04-04,1239080
2020-04-05,1205731
2020-04-06,1202965
2020-04-07,1177516
2020-04-08,1193499
2020-04-09,1228360
2020-04-10,1516333
2020-04-11,1348662
2020-04-12,1180991
2020-04-13,1172987
2020-04-14,1166174
2020-04-15,1145976
2020-04-16,1196716
2020-04-17,1417667
2020-04-18,1442868
2020-04-19,1373461
2020-04-20,1269957
2020-04-21,1210712
2020-04-22,1202244
2020-04-23,1206692
2020-04-24,1246991
2020-04-25,1295585
2020-04-26,1150450
2020-04-27,1091229
2020-04-28,1108714
2020-04-29,1102154
2020-04-30,1140581
2020-05-01,1126549
2020-05-02,1120449
2020-05-03,1097713
2020-05-04,1053863
2020-05-05,1021438
2020-05-06,1070418
2020-05-07,1079748
2020-05-08,1086387
2020-05-09,1041278
2020-05-10,1033101
2020-05-11,1025215
2020-05-12,1029418
2020-05-13,1010208
2020-05-14,1011371
2020-05-15,1008679
2020-05-16,983882
2020-05-17,948190
2020-05-18,928254
2020-05-19,930697
2020-05-20,939657
2020-05-21,909580
2020-05-22,949806
2020-05-23,935564
2020-05-24,909525
2020-05-25,907091
2020-05-26,891703
2020-05-27,895199
2020-05-28,902410
2020-05-29,920574
2020-05-30,889504
2020-05-31,894429
2020-06-01,892431
2020-06-02,868454
2020-06-03,880609
2020-06-04,890796
2020-06-05,912633
2020-06-06,866466
2020-06-07,785782
2020-06-08,791819
2020-06-09,724942
2020-06-10,740875
2020-06-11,720829
2020-06-12,706016
2020-06-13,693957
2020-06-14,689836
2020-06-15,716474
2020-06-16,736166
2020-06-17,734084
2020-06-18,679458
2020-06-19,679191
2020-06-20,659259
2020-06-21,659409
